# Time(fs) Population Fitted_Population
8.000000000000000000e+02 2.428199999999999109e-02 2.919117201917907026e-03
8.010000000000000000e+02 2.361199999999999410e-02 2.898507326172971698e-03
8.020000000000000000e+02 2.446999999999999176e-02 2.878042962563671491e-03
8.030000000000000000e+02 2.617599999999999094e-02 2.857723083729054887e-03
8.040000000000000000e+02 2.507799999999999266e-02 2.837546669561650733e-03
8.050000000000000000e+02 2.435599999999999224e-02 2.817512707156272656e-03
8.060000000000000000e+02 2.639799999999999786e-02 2.797620190759152626e-03
8.070000000000000000e+02 2.588599999999999582e-02 2.777868121717464410e-03
8.080000000000000000e+02 2.534999999999998713e-02 2.758255508429173150e-03
8.090000000000000000e+02 2.502399999999999763e-02 2.738781366293270049e-03
8.100000000000000000e+02 2.553000000000000061e-02 2.719444717660335353e-03
8.110000000000000000e+02 2.528799999999999451e-02 2.700244591783451317e-03
8.120000000000000000e+02 2.540399999999999256e-02 2.681180024769485096e-03
8.130000000000000000e+02 2.320199999999999346e-02 2.662250059530680418e-03
8.140000000000000000e+02 2.277399999999999564e-02 2.643453745736624831e-03
8.150000000000000000e+02 2.256399999999999378e-02 2.624790139766533959e-03
8.160000000000000000e+02 2.286399999999999544e-02 2.606258304661873172e-03
8.170000000000000000e+02 2.279599999999999682e-02 2.587857310079336604e-03
8.180000000000000000e+02 2.287599999999999356e-02 2.569586232244121509e-03
8.190000000000000000e+02 2.291400000000000034e-02 2.551444153903568643e-03
8.200000000000000000e+02 2.285199999999999732e-02 2.533430164281110560e-03
8.210000000000000000e+02 2.303199999999999345e-02 2.515543359030536930e-03
8.220000000000000000e+02 2.296799999999999883e-02 2.497782840190612436e-03
8.230000000000000000e+02 2.264400000000000093e-02 2.480147716139978736e-03
8.240000000000000000e+02 2.147000000000000644e-02 2.462637101552408135e-03
8.250000000000000000e+02 2.088199999999999779e-02 2.445250117352352603e-03
8.260000000000000000e+02 1.969999999999999876e-02 2.427985890670803296e-03
8.270000000000000000e+02 2.047400000000000261e-02 2.410843554801486623e-03
8.280000000000000000e+02 2.056799999999999948e-02 2.393822249157337434e-03
8.290000000000000000e+02 2.063599999999999809e-02 2.376921119227309170e-03
8.300000000000000000e+02 2.031399999999999526e-02 2.360139316533468954e-03
8.310000000000000000e+02 1.905199999999999602e-02 2.343475998588395379e-03
8.320000000000000000e+02 1.907399999999999374e-02 2.326930328852898962e-03
8.330000000000000000e+02 1.923999999999999322e-02 2.310501476694009314e-03
8.340000000000000000e+02 1.913000000000000117e-02 2.294188617343289292e-03
8.350000000000000000e+02 1.912400000000000211e-02 2.277990931855423690e-03
8.360000000000000000e+02 1.930000000000000118e-02 2.261907607067098914e-03
8.370000000000000000e+02 1.859399999999999942e-02 2.245937835556197516e-03
8.380000000000000000e+02 1.873399999999999371e-02 2.230080815601242963e-03
8.390000000000000000e+02 1.854999999999999358e-02 2.214335751141169664e-03
8.400000000000000000e+02 1.735599999999999990e-02 2.198701851735349738e-03
8.410000000000000000e+02 1.625600000000000309e-02 2.183178332523907309e-03
8.420000000000000000e+02 1.624799999999999855e-02 2.167764414188327708e-03
8.430000000000000000e+02 1.600000000000000033e-02 2.152459322912321244e-03
8.440000000000000000e+02 1.572199999999999986e-02 2.137262290342986214e-03
